原始分	等级	Y1	Y2	T1	T2	转换分
44	=LOOKUP(1,0/(RANK(A2,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B2,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B2,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B2,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B2,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E2*(A2-D2)+F2*(C2-A2))/(C2-D2)
56	=LOOKUP(1,0/(RANK(A3,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B3,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B3,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B3,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B3,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E3*(A3-D3)+F3*(C3-A3))/(C3-D3)
56	=LOOKUP(1,0/(RANK(A4,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B4,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B4,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B4,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B4,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E4*(A4-D4)+F4*(C4-A4))/(C4-D4)
36	=LOOKUP(1,0/(RANK(A5,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B5,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B5,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B5,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B5,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E5*(A5-D5)+F5*(C5-A5))/(C5-D5)
48	=LOOKUP(1,0/(RANK(A6,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B6,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B6,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B6,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B6,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E6*(A6-D6)+F6*(C6-A6))/(C6-D6)
53	=LOOKUP(1,0/(RANK(A7,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B7,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B7,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B7,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B7,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E7*(A7-D7)+F7*(C7-A7))/(C7-D7)
63	=LOOKUP(1,0/(RANK(A8,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B8,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B8,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B8,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B8,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E8*(A8-D8)+F8*(C8-A8))/(C8-D8)
63	=LOOKUP(1,0/(RANK(A9,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B9,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B9,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B9,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B9,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E9*(A9-D9)+F9*(C9-A9))/(C9-D9)
53	=LOOKUP(1,0/(RANK(A10,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B10,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B10,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B10,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B10,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E10*(A10-D10)+F10*(C10-A10))/(C10-D10)
63	=LOOKUP(1,0/(RANK(A11,A:A)/COUNTA(A:A)>{0,0.15,0.5,0.85,0.98}),{"A","B","C","D","E"})	=VLOOKUP($B11,分数区间!$A:$E,@COLUMN(分数区间!B:B),0)	=VLOOKUP($B11,分数区间!$A:$E,@COLUMN(分数区间!C:C),0)	=VLOOKUP($B11,分数区间!$A:$E,@COLUMN(分数区间!D:D),0)	=VLOOKUP($B11,分数区间!$A:$E,@COLUMN(分数区间!E:E),0)	=(E11*(A11-D11)+F11*(C11-A11))/(C11-D11)
